Degree,Branch,Specialization,Year,Sem,Course Code,Course Name,Course Type,Credits
B.Tech.,Aerospace Engineering,N/A,1,Autumn,AE 103,A historical perspective of Aerospace Engineering,Theory,6
B.Tech.,Aerospace Engineering,N/A,1,Autumn,BB 101,Biology,Theory,6
B.Tech.,Aerospace Engineering,N/A,1,Autumn,CH 105,Organic & Inorganic Chemistry,Theory,4
B.Tech.,Aerospace Engineering,N/A,1,Autumn,CH 107,Physical Chemistry,Theory,4
B.Tech.,Aerospace Engineering,N/A,1,Autumn,CH 117,Chemistry Lab,Lab,3
B.Tech.,Aerospace Engineering,N/A,1,Autumn,CS 101,Computer Programming and Utilization,Theory,6
B.Tech.,Aerospace Engineering,N/A,1,Autumn,GC 101,Gender in the workplace,Non-credit,0
B.Tech.,Aerospace Engineering,N/A,1,Autumn,MA 105,Calculus,Theory,8
B.Tech.,Aerospace Engineering,N/A,1,Autumn,MA 109,Calculus I,Theory,4
B.Tech.,Aerospace Engineering,N/A,1,Autumn,MA 111,Calculus II,Theory,4
B.Tech.,Aerospace Engineering,N/A,1,Autumn,ME 113,Workshop Practice,Lab,4
B.Tech.,Aerospace Engineering,N/A,1,Autumn,MS 101,Makerspace,Lab,8
B.Tech.,Aerospace Engineering,N/A,1,Autumn,NOCS01,NCC/NSS/NSO,Non-credit,0
B.Tech.,Aerospace Engineering,N/A,1,Autumn,PH 107,Quantum Physics and Application,Theory,6
B.Tech.,Aerospace Engineering,N/A,1,Autumn,PH 117,Physics Lab,Lab,3
B.Tech.,Aerospace Engineering,N/A,1,Spring,AE 152,Introduction to Aerospace Engg.,Theory,6
B.Tech.,Aerospace Engineering,N/A,1,Spring,CS 101,Computer Programming and Utilization,Theory,6
B.Tech.,Aerospace Engineering,N/A,1,Spring,MA 110,Linear Algebra and Differential Equations,Theory,8
B.Tech.,Aerospace Engineering,N/A,1,Spring,NOCS02,NCC/NSS/NSO,Non-credit,0
B.Tech.,Aerospace Engineering,N/A,1,Spring,PH 117,Physics Lab,Lab,3
B.Tech.,Aerospace Engineering,N/A,2,Autumn,AE 223,Thermodynamics and Propulsion,Theory,6
B.Tech.,Aerospace Engineering,N/A,2,Autumn,AE 227,Solid Mechanics,Theory,6
B.Tech.,Aerospace Engineering,N/A,2,Autumn,AE 229,Introduction to Aerodynamics and Propulsion Laboratory,Lab,3
B.Tech.,Aerospace Engineering,N/A,2,Autumn,AE 231,Introduction to Aerospace Structures and Control Laboratory,Lab,3
B.Tech.,Aerospace Engineering,N/A,2,Autumn,AE 308,Control Theory,Theory,6
B.Tech.,Aerospace Engineering,N/A,2,Spring,EC 101,Economics,Theory,6
B.Tech.,Aerospace Engineering,N/A,2,Autumn,ES 250,Environmental Studies : Science and Engineering,Non-credit,3
B.Tech.,Aerospace Engineering,N/A,2,Autumn,HS 250,Environmental Studies,Non-credit,3
B.Tech.,Aerospace Engineering,N/A,2,Spring,AE 233,Control Systems Laboratory,Lab,3
B.Tech.,Aerospace Engineering,N/A,2,Spring,AE 238,Aerospace Structural Mechanics,Theory,6
B.Tech.,Aerospace Engineering,N/A,2,Spring,AE 244,Low Speed Aerodynamics,Theory,6
B.Tech.,Aerospace Engineering,N/A,2,Spring,AE 246,Aircraft Structures Laboratory,Lab,3
B.Tech.,Aerospace Engineering,N/A,2,Spring,AE 248,AI and Data Science,Theory,6
B.Tech.,Aerospace Engineering,N/A,2,Autumn,DE 250,Design Thinking for Innovation,Theory,6
B.Tech.,Aerospace Engineering,N/A,2,Spring,PH 111,Introduction to classical Physics,Theory,4
B.Tech.,Aerospace Engineering,N/A,3,Autumn,AE 339,High Speed Aerodynamics,Theory,6
B.Tech.,Aerospace Engineering,N/A,3,Autumn,AE 341,Flight Mechanics of Aircrafts and Spacecrafts,Theory,6
B.Tech.,Aerospace Engineering,N/A,3,Autumn,AE 343,Aerodynamics Laboratory,Lab,3
B.Tech.,Aerospace Engineering,N/A,3,Autumn,AE 344,Aero Propulsion,Theory,6
B.Tech.,Aerospace Engineering,N/A,3,Autumn,AE 345,Aircraft Propulsion Laboratory,Lab,3
B.Tech.,Aerospace Engineering,N/A,3,Spring,AE 332,Aircraft Design,Theory,6
B.Tech.,Chemical Engineering,N/A,1,Autumn,CH 111,Chemistry,Theory,8
B.Tech.,Chemical Engineering,N/A,1,Autumn,CH 117,Chemistry Lab,Lab,3
B.Tech.,Chemical Engineering,N/A,1,Autumn,CS 101,Computer Programming and Utilization,Theory,6
B.Tech.,Chemical Engineering,N/A,1,Autumn,MA 105,Calculus,Theory,8
B.Tech.,Chemical Engineering,N/A,1,Autumn,NOCS01,NCC/NSS/NSO,Non-credit,0
B.Tech.,Chemical Engineering,N/A,1,Autumn,PH 117,Physics Lab,Lab,3
B.Tech.,Chemical Engineering,N/A,1,Spring,CH 117,Chemistry Lab,Lab,3
B.Tech.,Chemical Engineering,N/A,1,Spring,CL 102,Material and Energy Balances,Theory,6
B.Tech.,Chemical Engineering,N/A,1,Spring,MA 110,Linear Algebra and Differential Equations,Theory,8
B.Tech.,Chemical Engineering,N/A,1,Spring,MS 101,Makerspace,Lab,8
B.Tech.,Chemical Engineering,N/A,1,Spring,NOCS02,NCC/NSS/NSO,Non-credit,0
B.Tech.,Chemical Engineering,N/A,1,Spring,PH 110,Introduction to Classical and Quantum Physics,Theory,8
B.Tech.,Chemical Engineering,N/A,2,Autumn,BB 101,Biology,Theory,6
B.Tech.,Chemical Engineering,N/A,2,Autumn,CL 205,AI and Data Science,Theory,6
B.Tech.,Chemical Engineering,N/A,2,Autumn,CL 207,Chemical Engineering Thermodynamics,Theory,6
B.Tech.,Chemical Engineering,N/A,2,Autumn,CL 254,Process Fluid Mechanics,Theory,6
B.Tech.,Chemical Engineering,N/A,2,Autumn,EC 101,Economics,Theory,6
