Course Code,Course Name,Prereq_Note
AE 153,Introduction to Aerospace Engg.,No
AE 223,Thermodynamics and Propulsion,No
AE 227,Solid Mechanics,No
AE 308,Control Theory,No
AE 339,High Speed Aerodynamics,No
AE 341,Flight Mechanics of Aircrafts and Spacecrafts,No
AE 344,Aero Propulsion,No
BB 600,Introduction to Biomedical Engineering,No
BB 603,Physiology for Engineers,No
BB 627,Medical Imaging Methods,No
BB 633,Movement Neuroscience,No
BB 677,Introduction to Biomechanics,No
BB 681,Biological Physics at Microscopic Scales,No
BB 683,Introduction to Quantum Science,No
CH 209,Basic Organic Chemistry,No
CH 225,Data Analysis for Chemists,No
CH 301,Co-ordination Chemistry and Magnetic Properties,No
CH 305,Chemistry of Functional Groups,No
CH 309,Introduction to Electrochemistry,No
CH 311,Solid State,No
CH 401,Organic Reactions,No
CH 405,Advanced Transition Metal Chemistry,No
CH 425,Chemical Bond and Molecular Geometry,Yes
CH 521,Interpretative Molecular Spectroscopy,Yes
CH 547,Organometallic Chemistry,No
CS 347,Operating Systems,Yes
CS 409,Introduction to Cryptography,No
CS 416,Computer and Network Security,Yes
DH 302,Introduction to Public Health Informatics,No
DH 307,R & D Project,No
DH 308,Clinical Data Management,No
DH 607,Introduction to Computational Multi-omics,Yes
DH 801,Biostatistics in Healthcare,No
DH 803,Wearable Health Technologies,No
DS 203,Programming for Data Science,No
EC 457,Managerial Economics,Yes
EE 204,Analog Circuits,No
EE 224,Digital Systems,No
EE 229,Signal Processing - I,No
EE 325,Probability and Random Processes,No
EE 341,Communication Systems - I,No
EN 323,Renewable Energy Generation and Storage,No
ENT602,Technology Venture Creation,No
ENT606,Developing a Proof of Concept- Basic,No
ENT609,Marketing & Finance for Entrepreneurs,No
ENT612,Field Immersion for Researchers and Entrepreneurs,No
ENT615,Strategy and Leadership for Entrepreneurs,No
ENT617,Tech-Opportunities Identification,No
ENT620,AI for Business and Entrepreneurs,No
ENT623,Fintech Entrepreneurship,No
ENT625,Branding & Digital Marketing for Entrepreneurs,No
ES 203,Water and Wastewater Engineering,No
ES 303,Municipal waste and biomedical waste management,No
ES 401,Environmental management,No
HS 459,Cognitive and Psychological Testing: Labs to Life,No
HS 490,Organizational Behaviour and Implications for Management,No
MA 403,Real Analysis,No
MA 419,Basic Algebra,No
ME 209,Thermodynamics,No
ME 323,Thermal and Chemical processing of materials,No
MG 401,Marketing Management,No
MG 402,Human Resource Management,No
MG 403,Accounting and Finance,No
MM 219,Structure of Materials,No
MM 329,Diffusion and Phase Transformations,No
MM 331,Mechanical Behaviour of Materials,No
MM 333, Electronic, Magnetic and Optical Properties of Materials,No
PH 251, Classical Mechanics,No
PH 253, Thermal and Statistical Physics,No
SC 625, Systems Theory,No
SC 631, Games and Information,No
SC 639, Mathematical Structures for Control,No
SC 651, Estimation on Lie Groups,No
SC 655, Random Processes in Learning and Control,No
SC 658, Modeling for Aero-Mechanical Systems (MAMS),No
SC 663, Optimization and Inferenc in Sparse Network Models,No
SC 664, Active Vibration Control,No
SI 424, Statistical Inference I,Yes
SI 427, Probability I,No
TD 638, Development Perspectives: Ideas, Approaches, and Theories,No
