Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
AE 152,Main,5.0,12.0,,,19.0,17.0,13.0,8.0,1.0,5.0,1.0,,,,81
AE 153,M,,,,,,,1.0,,,,,,,,1
AE 219,Main,5.0,3.0,,,4.0,2.0,,,,,,1.0,,,15
AE 233,Main,8.0,14.0,,,21.0,18.0,14.0,3.0,1.0,,,,,,79
AE 238,Main,6.0,19.0,,,17.0,15.0,11.0,9.0,3.0,5.0,4.0,,,,89
AE 238,M,,,,,1.0,,,,,,,,,,1
AE 240,Main,,,,,1.0,,1.0,,1.0,,4.0,,,,7
AE 244,Main,10.0,15.0,1.0,,20.0,17.0,9.0,5.0,3.0,3.0,4.0,,,,87
AE 244,M,,,,,,,,1.0,1.0,1.0,,,,,3
AE 246,Main,64.0,10.0,,,5.0,,,,1.0,,1.0,,,,81
AE 248,Main,9.0,17.0,,1.0,17.0,20.0,16.0,5.0,6.0,,7.0,,,,98
AE 305,Main,,,,,,,1.0,,2.0,,3.0,,,,6
AE 312,Main,,,,,,,,,1.0,,1.0,,,,2
AE 314,Main,1.0,2.0,,,,1.0,,1.0,,,,1.0,,,6
AE 330,Main,,,,,,,,,,,2.0,,,,2
AE 332,Main,3.0,11.0,,,19.0,27.0,7.0,3.0,3.0,,3.0,,,,76
AE 332,M,2.0,1.0,,,,2.0,1.0,,,,,,,,6
AE 419,Main,4.0,1.0,,,2.0,1.0,,,,,,3.0,,,11
AE 427,Main,,,,,,,2.0,1.0,,,,,,,3
AE 454,Main,1.0,,,,,,,,,,,,,,1
AE 493,Main,8.0,,,,1.0,,,,,,,,,,9
AE 494,Main,6.0,4.0,,,2.0,1.0,,2.0,,,1.0,,,,16
AE 501,Main,2.0,3.0,,,3.0,3.0,1.0,,,,1.0,,,,13
AE 607,Main,,4.0,,,10.0,3.0,,,,,,,,,17
AE6103,Main,4.0,8.0,,,8.0,8.0,3.0,5.0,,7.0,4.0,,,,47
AE6104,Main,3.0,2.0,,,,1.0,,1.0,,,,,,,7
AE 611,Main,2.0,12.0,,,6.0,2.0,,,,,,,,,22
AE 622,Main,6.0,10.0,,,13.0,5.0,5.0,1.0,,,1.0,,,,41
AE 650,Main,2.0,1.0,,,2.0,,,,,,1.0,,,,6
