Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
AE 103,Main,18.0,36.0,,,17.0,,,,1.0,,,,,,72
AE 152,Main,,,,,,,,,,,2.0,,,,2
AE 153,M,,,,,7.0,1.0,4.0,2.0,2.0,,1.0,,,,17
AE 219,Main,7.0,7.0,,,7.0,1.0,,,,,,4.0,,,26
AE 223,Main,4.0,18.0,1.0,,13.0,19.0,10.0,7.0,11.0,,8.0,,,,91
AE 227,Main,8.0,24.0,,,15.0,13.0,8.0,11.0,3.0,,2.0,,,,84
AE 227,M,,1.0,,,,,,,,,,,,,1
AE 229,Main,17.0,31.0,,,23.0,5.0,2.0,,,,,,,,78
AE 231,Main,11.0,40.0,,,24.0,2.0,,,1.0,,,,,,78
AE 234,Main,,,,,,,,,1.0,,,,,,1
AE 308,Main,4.0,13.0,,,13.0,11.0,12.0,15.0,11.0,,8.0,,,,87
AE 308,M,,,,,,,,1.0,1.0,,2.0,,,,4
AE 326,Main,,,,,,,,,,,3.0,,,,3
AE 339,Main,5.0,18.0,,,8.0,14.0,8.0,12.0,10.0,,6.0,,,,81
AE 339,M,,,,,,,,,,,,,,,81
AE 341,Main,2.0,12.0,1.0,,17.0,16.0,14.0,10.0,10.0,,2.0,,,,84
AE 341,M,,1.0,,,,,1.0,,,,,,,,2
AE 343,Main,28.0,41.0,,,6.0,3.0,3.0,,,,2.0,,,,83
AE 344,Main,5.0,10.0,1.0,,15.0,12.0,15.0,11.0,11.0,,7.0,,,,87
AE 345,Main,,18.0,,,59.0,2.0,1.0,,,,2.0,,,,82
AE 419,Main,2.0,3.0,,,,,,,,,,2.0,,,7
AE 429,Main,2.0,3.0,,,6.0,1.0,,,,,,,,,12
AE 493,Main,5.0,4.0,,,1.0,,,,,,,2.0,,,12
AE 494,Main,3.0,1.0,,,2.0,,,,,,,,,,6
AE 616,Main,6.0,8.0,,,6.0,2.0,3.0,2.0,1.0,,,,,,28
AE 625,Main,2.0,1.0,,1.0,1.0,2.0,2.0,1.0,,,2.0,,,,12
AE 641,Main,7.0,9.0,,2.0,10.0,5.0,1.0,2.0,1.0,,2.0,,,,39
AE 649,Main,5.0,3.0,,,10.0,13.0,7.0,7.0,2.0,19.0,,,,,66
AE 650,Main,3.0,1.0,,,2.0,,,1.0,1.0,,,,,,8
AE 662,Main,,,,,3.0,2.0,1.0,,,,5.0,,,,11
AE 667,Main,4.0,11.0,,,16.0,7.0,7.0,2.0,,,,,,,47
AE 681,Main,1.0,2.0,,3.0,6.0,6.0,16.0,18.0,,,22.0,,,,74
AE 683,Main,5.0,6.0,,,5.0,3.0,5.0,4.0,2.0,,1.0,,,,31
AE 694,Main,1.0,,,,,,,,,,,,,,1
AE 695,Main,4.0,4.0,,,7.0,5.0,5.0,4.0,3.0,,,,,,32
AE 705,Main,12.0,17.0,,,20.0,5.0,2.0,1.0,,,2.0,,,,59
AE 707,Main,3.0,4.0,,,8.0,2.0,1.0,,,,,2.0,,,20
AE 709,Main,2.0,7.0,,,4.0,1.0,1.0,2.0,,,1.0,,,,18
AE 711,Main,2.0,5.0,,,10.0,11.0,5.0,1.0,1.0,,,,,,35
AE 715,Main,2.0,1.0,,,3.0,5.0,7.0,7.0,2.0,,2.0,,,,29
AE 720,Main,,,,,,,2.0,,1.0,,,,,,3
