Course Code,Course Name
CL 665,Sustainable Engineering Principles
CL 669,Product Research & Development
CL 673,Turbulent Multiphase Flow
CL 683,Introduction to Microfluidics and its Applications
CL 685,Novel Alternative Models for Drug Discovery
CL 706,Molecular Principles in Chemical Engineering
CL 713,Introduction to Network Analysis
CM 617,Sustainability Principles and Practices
CM 618,Introduction to Climate Science
CM 619,Thermodynamics of Climate System
CM 704,Machine Learning for Climate and Sustainability
CM 899,Communication Skills
CS 405,Game Theory and Algorithmic Mechanism Design
CS 409,Introduction to Cryptography
CS6010,Applied Cloud Computing
CS6011,Introduction to Cryptography
CS6012,Deep Learning: Foundations and Applications
CS6013,Efficient AI
CS6101,Indexing and Retrieving Text and Graphs
CS 616,Parallelizing Compilers
CS 663,Fundamentals of Digital Image Processing
CS7001,Robot Perception and Learning
CS 740,Mathematics for Visual Computing
CS 782,Algebra and Computation
CS 787,Language Engineering for Complex Programs: A C++ Perspective
DE 216,Classics of Popular Indian Cinema
DE 301,Introduction to Sound Design
DE 328,Board Game Design
DE 335,Handloom Weaving for Beginners
DE 340,Pottery for Beginners
DE 341,An Introduction to the City
DE 343,Introduction to Print Making
DE 349,Immersive Art in VR
DE 353,"History, Technology, and the Future of Filmmaking"
DE6103,Advanced Product Design
EC 700,Applied Economics
ENT602,Technology Venture Creation
ENT606,Developing a Proof of Concept- Basic
ENT612,Field Immersion for Researchers and Entrepreneurs
ENT615,Strategy and Leadership for Entrepreneurs
ENT623,Fintech Entrepreneurship
ENT625,Branding & Digital Marketing for Entrepreneurs
ME 781,Statistical Machine Learning and Data Mining
MS 614,Product Integration Course
MS 615,Heavy Equipment Makerspace
MS 616,Robotics Design Lab
MS 618,Materials & Chemistry for Sustainable Technologies
SC 639,Mathematical Structures for Control
