Course Code,Batch Year,Department,Program,Acad Category,Lower CPI,Upper CPI
CL 665,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CL 669,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CL 673,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CL 683,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CL 685,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CL 706,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CL 713,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CM 617,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CM 618,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CM 619,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CM 704,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CM 899,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS 405,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS 409,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS6010,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS6011,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS6012,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS6013,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS6101,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS 616,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS 663,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS7001,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS 740,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS 782,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
CS 787,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 216,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 301,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 328,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 335,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 340,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 341,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 343,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 349,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE 353,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
DE6103,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
EC 700,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
ENT602,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
ENT606,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
ENT612,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
ENT615,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
ENT623,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
ENT625,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
ME 781,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
MS 614,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
MS 615,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
MS 616,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
MS 618,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
SC 639,ALL,,,"1, 2, 3, 4, 5, 6",0.00,10.00
