Course Code,Course Name,Course Type,Course content category Only for 2022 Entrants,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Division Defined,Restrictions,Total Credits,Lecture,Tutorial,Practical,Self-Study,Half Semester,Text Reference,Course Description
AE 103,A historical perspective of Aerospace Engineering,Theory,Interdisciplinary STEM Course.,I - Chandra Sekher Yerramalli,"  Class : CL 102 ESE
FullSemester","11
Fri-11B-15:30:00-16:55:00-Class : CL 102 ESE
Tue-11A-15:30:00-16:55:00-Class : CL 102 ESE", , Biometric Enabled,0,,No restrictions,6.0,3.0, , , ,N,"(1) The Ascent of Science, by Brian L. Silver,302240 Oxford University Press(2) The Ascent of Man, by Jacob Bronowski, BBC Books (BBC videos - 13 episdoes - are available at:https://www.amazon.com/Ascent-Man-Complete-BBC-Region/dp/B000772842)(3) This is Biology, by Ernst Mayr, Harvard University PressFor topics and resource materials pertaining to the history technolog(ies) in particular, Prof Pankaj Sekhsaria of CTARA may be contacted.1. The Wright Brothers A biography by F.C. Kelly, Publisher-Geoge G. Harrap & Co (Jan 1, 1994)2. Tejas Story : The light combat aircraft project by Air Marshal Phillip Rajkumar (Retd.) Publisher- Manohar Publishers and Distributors (Jan 1, 2007)3. The Grand Designers: The Evolution of the Airplane in the 20th Century (Cambridge Centennial of Flight) Hardcover 302226 J A Anderson, Jr. Publisher- Cambridge University Press (March 22, 2018)","PART-I : Based on inputs from CLE (LASE program) Recommended Topics: -------------------- * The scientific revolution of the 17th century -- mechanics of the craftsmen and mathematics of the scholars are fused to explain the Universe.  * The 18th century enlightenment movement and growing dominance of the scientific worldview.  * The 19th century steam engine and electric generator, and the industrial revolution. Evolutionary perspectives in geology, biology and society. The professionalization of Science and development of its secular and elite character. * The 20th century - the birth of new physics and chemistry of the atomic and subatomic world, and related technologies. The birth of computing machines, aerodynamic and space technologies. The growing knowledge of cellular and molecular biology, and human diseases. * The 21st century - the global concerns for public health and pandemics, ecological devastation and agricultural crisis, social and economic inequality, remain and continue to grow.  PART-II : 1. History of Aerospace Engineering a. Aeronautics and Aerospace – Aircrafts and Rockets b. Basic structure/geometry/terminology of aircrafts and rockets c. Basic science of flight – Number of disciplines involved in aerospace technology d. Stories of flight – Across the world e. Evolution in flying – balloons and gliders f. Flight of heavier than air object – First flight, First rockets 2. Major milestones (discoveries and inventions) and its impact on society and industrial revolution, including negative impacts on the society. a. Global milestones – First balloon flight, powered flight, V2 rockets, Supersonic flight, civilian supersonic, Shuttle flights, SPACEX etc. b. Indian milestones – First Indigenous aircraft design- HF24, LCA, ALH, SLV, PSLV, GSLV etc. 3. Evolution of ethics and practices in the discipline – Nuclear and Chemical Weapons control, Export control laws etc. 4. Important persons, their biographies, struggle, and success. a. Indian and global 5. Voices from the field (invited talks from practitioners and professionals) – Have couple of talks every semester 6. Recent and cutting edge research in the discipline 7. Prospective directions of evolution of the discipline in the near future."
AE 152,Introduction to Aerospace Engg.,Theory,Interdisciplinary STEM Course.,I - Rajkumar Sureshchandra Pant,"  Class Room : LA 201
FullSemester","5
Fri-5B-09:30:00-10:55:00-Class Room : LA 201
Wed-5A-09:30:00-10:55:00-Class Room : LA 201", , Biometric Enabled,300,,No restrictions,6.0,2.0, ,1.0, ,N,"Ojha S.K., Flight Performance of Aircraft, AIAA Series, 1995.Anderson, J.D., Introduction to Flight, McGraw Hill, 1989. Hale, J.F., Introduction to Aircraft Performance, Selection and Design, John Wiley, 1984.","Nomenclature of aircraft components. Standard atmosphere. Basic Aerodynamics : Streamlines, steady fluid motion, incompressible flow, Bernoulli""s equation,Mach number, Pressure and airspeed measurement, Boundary Layer,Reynolds number, Laminar and Turbulent flow. Airfoils and wings: pressure coefficient and lift calculation, Critical Mach number, Wave drag, Finite wings, Induced drag, Swept wings. Aircraft performance: steady level flight, Altitude effects, Absolute ceiling, steady climbing flight, Energy methods, Range and Endurance, Sustained level turn, pull-up, V-n diagram, Take off and landing. Reentry vehicles: Ballistic and Glide Reentry, Blunt body concept."
AE 153,Introduction to Aerospace Engg.,Theory,Interdisciplinary STEM Course.,I - Rajkumar Sureshchandra Pant,"  Class Room : LA 201
FullSemester","5
Fri-5B-09:30:00-10:55:00-Class Room : LA 201
Wed-5A-09:30:00-10:55:00-Class Room : LA 201", M, Biometric Enabled,20,,No restrictions,6.0,2.0, ,1.0, ,N,"1. Anderson, J. D., The Aeroplane, a History of its Technology, AIAA Education Series,20022. Anderson, J. D., Introduction to Flight, McGraw-Hill Professional, 20053. Howe, D., Aircraft Loading and Structural Layout, AIAA Education Series, 20044. Ojha S.K., Flight Performance of Aircraft, AIAA Education Series, 19955. Horonjeff, R and McKelvey, F., Planning and Design of Airports, McGraw-Hill Professional,1994","Historical Developments in Aviation, Aviation milestones, Components of an aircraft, Types of aerial vehicles. Basic Aerodynamics: Fluid dynamic equations & their basis, Ideal fluid, viscous flows, Flow past a body, Flow Separation, Generation of Lift, Drag & Moment, Non-dimensional coefficients, Airfoils & Wings, Aerofoil families, Supersonic flight, Wave Drag, Aircraft Drag Polar, Properties of atmosphere: ISA, IRA, Pressure altitude, Altimeter; Aircraft speeds TAS, EAS, CAS, IAS Types of Powerplant for aerospace vehicles, Thrust/Power and fuel flow variation with altitude & velocity. Role & Layout of structural members in an aircraft. Aircraft Performance: Steady level flight, Altitude effects, Absolute ceiling, steady climbing flight, Energy methods, Range and Endurance, Sustained level turn, pull-up,Take off and landing. Aircraft Operations: Introduction to Airports, Avionics Equipment, Precision aids, Separation minima, Air Route structure, Navigation and Guidance. Introduction to Space flight: Types of trajectories, Types of missiles, Launch vehicles, Satellites."
AE 219,Supervised Learning,Other Project,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,"   
FullSemester",, , ,0,,No restrictions,6.0,2.0, ,1.0, ,N, , 
AE 223,Thermodynamics and Propulsion,Theory,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,"  Class Room : LC 301
FullSemester","3
Mon-3A-10:35:00-11:30:00-Class Room : LC 301
Thu-3C-08:30:00-09:25:00-Class Room : LC 301
Tue-3B-11:35:00-12:30:00-Class Room : LC 301", , Biometric Enabled,297,,No restrictions,6.0,3.0, , , ,N,"1. Sonntag, R. E., Borgnakke ,C. and Van Wylen ,G. J., Fundamentals of Thermodynamics, 6thed., Wiley, 20022. Cengel, Y., and Boles, M., Thermodynamics: anEngineering Approach, 7th Ed., McGraw Hill,20103. Nag, P. K., Engineering Thermodynamics, 4thed., Tata McGraw Hill, 20084. Rogers and Mayhew, EngineeringThermodynamics: Work and Heat Transfer, 4thEd, Longman Scientific, 1992.5. Cengel, Y., and Ghajar, Heat transfer: Apractical approach, 4 Edition, McGraw Hill,2nd Ed., 20026. Hill, P., and Peterson, C., Mechanics andThermodynamics of Propulsion, PearsonEducation, 20097. Farokhi, Saeed, Aircraft Propulsion, Wiley-Blackwell 2nd Ed., 2014.","Basic concepts: System boundary, surroundings, state, extensive and intensive properties, energy interactions, work and heat transfers, equilibrium, quasi-static and reversible processes, non- equilibrium and irreversible processes. Thermodynamic laws: Zeroth law and temperature, first law and internal energy, first law applied to flow processes, second law, entropy and absolute temperature, third law and absolute entropy, thermodynamics of simple compressible systems, energy and energy. Applications: Closed and open systems, polytropic processes, cyclic processes, Carnot cycle; Cycle analysis: Otto cycle, Diesel cycle, Joule-Brayton cycle; ideal and real cycles. Basic principles of heat transfer: conduction, convection and radiation. Introduction to aero-engine cycles: ramjets, turbojets, turbofans and turboprops/turboshafts, ideal and real cycles, and component performance."
AE 223,Thermodynamics and Propulsion,Theory,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,"  Class Room : LC 301
FullSemester","3
Mon-3A-10:35:00-11:30:00-Class Room : LC 301
Thu-3C-08:30:00-09:25:00-Class Room : LC 301
Tue-3B-11:35:00-12:30:00-Class Room : LC 301", M, Biometric Enabled,20,,No restrictions,6.0,3.0, , , ,N,"1. Sonntag, R. E., Borgnakke ,C. and Van Wylen ,G. J., Fundamentals of Thermodynamics, 6thed., Wiley, 20022. Cengel, Y., and Boles, M., Thermodynamics: anEngineering Approach, 7th Ed., McGraw Hill,20103. Nag, P. K., Engineering Thermodynamics, 4thed., Tata McGraw Hill, 20084. Rogers and Mayhew, EngineeringThermodynamics: Work and Heat Transfer, 4thEd, Longman Scientific, 1992.5. Cengel, Y., and Ghajar, Heat transfer: Apractical approach, 4 Edition, McGraw Hill,2nd Ed., 20026. Hill, P., and Peterson, C., Mechanics andThermodynamics of Propulsion, PearsonEducation, 20097. Farokhi, Saeed, Aircraft Propulsion, Wiley-Blackwell 2nd Ed., 2014.","Basic concepts: System boundary, surroundings, state, extensive and intensive properties, energy interactions, work and heat transfers, equilibrium, quasi-static and reversible processes, non- equilibrium and irreversible processes. Thermodynamic laws: Zeroth law and temperature, first law and internal energy, first law applied to flow processes, second law, entropy and absolute temperature, third law and absolute entropy, thermodynamics of simple compressible systems, energy and energy. Applications: Closed and open systems, polytropic processes, cyclic processes, Carnot cycle; Cycle analysis: Otto cycle, Diesel cycle, Joule-Brayton cycle; ideal and real cycles. Basic principles of heat transfer: conduction, convection and radiation. Introduction to aero-engine cycles: ramjets, turbojets, turbofans and turboprops/turboshafts, ideal and real cycles, and component performance."
AE 227,Solid Mechanics,Theory,Interdisciplinary STEM Course.,I - Krishnendu Haldar,"  Class Room : LC 201
FullSemester","6
Fri-6B-11:05:00-12:30:00-Class Room : LC 201
Wed-6A-11:05:00-12:30:00-Class Room : LC 201", , Biometric Enabled,298,,No restrictions,6.0,3.0, , , ,N,"302225 M. H. Sadd, 302223Elasticity: Theory, Applications, and Numerics302224, Academic Press, 3rd Edition, 2014. 302225 K. D. Hjelmstad,. Fundamentals of structural mechanics. Springer, 2007. 302225 R. L. Bisplinghoff, J. W. Mar, and T. H. H. Pian, 302223Statics of Deformable Solids302224, Dover publications, 2.302240 302225 J. M. Gere and S. P. Timoshenko, 302223Mechanics of Materials302224, CBS Publishers, 2004.","The course is designed to provide a foundation to the theory of elasticity and an introduction to aerospace materials and their behaviour. The course concludes with topics that provide a segue to structural analysis. The sub-topics are as follows: • Engineering statics vs solid mechanics.  • Introduction to materials and material behaviour.  • Solid as a continuum: kinematics, kinetics, constitutive relations.  • Boundary value problems in elasticity.  • Reduction of 3D to 1D structures (axial, bending, torsional members). • Introduction to failure theories."
AE 227,Solid Mechanics,Theory,Interdisciplinary STEM Course.,I - Krishnendu Haldar,"  Class Room : LC 201
FullSemester","6
Fri-6B-11:05:00-12:30:00-Class Room : LC 201
Wed-6A-11:05:00-12:30:00-Class Room : LC 201", M, Biometric Enabled,20,,No restrictions,6.0,3.0, , , ,N,"302225 M. H. Sadd, 302223Elasticity: Theory, Applications, and Numerics302224, Academic Press, 3rd Edition, 2014. 302225 K. D. Hjelmstad,. Fundamentals of structural mechanics. Springer, 2007. 302225 R. L. Bisplinghoff, J. W. Mar, and T. H. H. Pian, 302223Statics of Deformable Solids302224, Dover publications, 2.302240 302225 J. M. Gere and S. P. Timoshenko, 302223Mechanics of Materials302224, CBS Publishers, 2004.","The course is designed to provide a foundation to the theory of elasticity and an introduction to aerospace materials and their behaviour. The course concludes with topics that provide a segue to structural analysis. The sub-topics are as follows: • Engineering statics vs solid mechanics.  • Introduction to materials and material behaviour.  • Solid as a continuum: kinematics, kinetics, constitutive relations.  • Boundary value problems in elasticity.  • Reduction of 3D to 1D structures (axial, bending, torsional members). • Introduction to failure theories."
AE 229,Introduction to Aerodynamics and Propulsion Laboratory,Lab,Interdisciplinary STEM Course.,"A - Chandra Sekar Thyagarajan
A - Prabhu Ramachandran
A - Sudarshan Kumar
I - Dhwanil Shukla","   
FullSemester","L
Mon-L1-14:00:00-16:55:00-", , ,0,,No restrictions,3.0, , ,3.0, ,N,1. Lab manuals in Aerospace engineering department,"Force (drag) measurement using load balance, flow visualization in water tunnel, Rubin’s tube for combustion visualization, Pitot static probe and manometer for velocity measurement"
AE 231,Introduction to Aerospace Structures and Control Laboratory,Lab,Interdisciplinary STEM Course.,"I - Hemendra Arya
I - Krishnendu Haldar","   
FullSemester","L
Thu-L3-14:00:00-16:55:00-", , ,0,,No restrictions,3.0, , ,3.0, ,N,"John D. Anderson, Introduction to flight, 6th edition, McGraw-Hill Education / AsiaErnest Doebelin302240 and 302240Dhanesh Manik, Doebelin`s Measurement Systems, , 6th edition, McGraw-Hill EducationLaboratory Manual, Aircraft Structures Lab., Dept. of Aerospace Engineering, IIT Bombay, 2023.","Four experiments are planned for the common lab for UG students. The focus of these experiments is to demonstrate typical tests used to determine material characterization and structural response, strain measurement, and exposure to aircraft’s behavior. These experiments are as follows: Testing of aerospace materials under axial loading, Demonstrate ductile and brittle behavior of materials and the determination of material elastic properties and strength Testing of aerospace structures under flexural loading, Bending tests to determine structural deflection and material Young’s modulus Application of Wheatstone bridge for strain measurement, Derivation of strain and resistance variations, application of strain gauge measurement Introduction to flight simulation, trimming of aircraft for various operating points"
