Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,DX,FF,FR,II,NP,PP,Total
AE 103,Main,8.0,16.0,,,44.0,12.0,,,,,,,,,,80
AE 152,Main,,2.0,,,5.0,2.0,2.0,2.0,,,,2.0,,,,15
AE 153,M,,3.0,,,2.0,3.0,2.0,,,,,,,,,10
AE 219,Main,8.0,1.0,,,,,,,1.0,,,,3.0,,,13
AE 223,Main,5.0,23.0,,,19.0,22.0,12.0,7.0,4.0,,5.0,2.0,,,,99
AE 223,M,,,,,2.0,1.0,,,1.0,,,,,,,4
AE 227,Main,6.0,16.0,1.0,,17.0,10.0,16.0,12.0,14.0,,,8.0,,,,100
AE 229,Main,13.0,28.0,,,34.0,6.0,2.0,,,,,,,,,83
AE 231,Main,8.0,14.0,,,19.0,16.0,15.0,7.0,2.0,,,,,,,81
AE 234,Main,,,,,,,,1.0,2.0,,,2.0,,,,5
AE 236,Main,,,,,,1.0,,,,,,,,,,1
AE 308,Main,18.0,20.0,1.0,,17.0,9.0,10.0,4.0,7.0,,,5.0,,,,91
AE 308,M,,1.0,,,,,1.0,,,,,1.0,,,,3
AE 312,Main,,1.0,,,1.0,1.0,,,,,,1.0,,,,4
AE 316,Main,,1.0,,,1.0,,,,,,,1.0,,,,3
AE 326,Main,,,,,,,,1.0,,,,2.0,,,,3
AE 339,Main,6.0,12.0,,,14.0,10.0,13.0,16.0,4.0,,,,,,,75
AE 339,M,2.0,1.0,,,,,,,,,,,,,,3
AE 341,Main,8.0,9.0,,,16.0,11.0,13.0,8.0,7.0,,,2.0,,,,74
AE 341,M,1.0,2.0,,,,,1.0,1.0,,,,,,,,5
AE 343,Main,29.0,27.0,,,10.0,5.0,1.0,,,,,,,,,72
AE 344,Main,9.0,12.0,,,10.0,12.0,12.0,11.0,6.0,,3.0,,,,,75
AE 344,M,,,,,,,1.0,,,,,,,,,1
AE 345,Main,18.0,30.0,,,17.0,4.0,3.0,,,,,,,,,72
AE 407,Main,4.0,5.0,,,5.0,19.0,13.0,11.0,16.0,,,6.0,,,,79
AE 407,M,,,,,,,,1.0,,,,,,,,1
AE 410,Main,11.0,27.0,,,22.0,13.0,7.0,1.0,1.0,,,2.0,,,,84
AE 410,M,1.0,,,,,2.0,1.0,,,,,,,,,4
AE 419,Main,5.0,1.0,,,,,,,,,,,2.0,,,8
AE 429,Main,4.0,8.0,,,11.0,3.0,,,,,,,,,,26
AE 493,Main,9.0,3.0,,,2.0,1.0,,,,,,,3.0,,,18
AE 494,Main,3.0,1.0,,,,,,,,,,,,,,4
AE 616,Main,7.0,8.0,,,16.0,5.0,2.0,4.0,1.0,,,1.0,,,,44
AE 641,Main,2.0,2.0,,,5.0,2.0,1.0,,,,,,,,,12
AE 647,Main,2.0,5.0,,,9.0,7.0,9.0,7.0,12.0,,,9.0,,,,60
AE 649,Main,7.0,1.0,,,5.0,4.0,3.0,1.0,,,,,,,,21
AE 650,Main,4.0,3.0,,,1.0,,,,,,,,1.0,,,9
AE 667,Main,5.0,13.0,,,16.0,10.0,4.0,,,,,2.0,,,,50
AE 681,Main,7.0,4.0,,,3.0,4.0,6.0,1.0,,,,,,,,25
AE 683,Main,8.0,6.0,,1.0,8.0,8.0,4.0,,2.0,,,2.0,,,,39
AE 694,Main,,,,,,,,,,,,,1.0,,,1
AE 695,Main,1.0,1.0,,,5.0,3.0,3.0,1.0,1.0,,,1.0,,,,16
AE 705,Main,28.0,48.0,,,16.0,9.0,8.0,3.0,4.0,,,11.0,,,,127
AE 707,Main,,1.0,,,4.0,13.0,5.0,2.0,3.0,,,2.0,,,,30
AE 709,Main,2.0,6.0,,,4.0,2.0,,2.0,,,,,,,,16
AE 711,Main,3.0,8.0,,,12.0,4.0,2.0,3.0,2.0,,,,,,,34
AE 715,Main,2.0,2.0,,,2.0,6.0,3.0,,,,,1.0,,,,16
AE 720,Main,1.0,,,1.0,,,,,1.0,,,1.0,,,,4
AE 726,Main,4.0,5.0,,,7.0,4.0,,,1.0,,,,1.0,,,22
AE 727,Main,9.0,5.0,,,,,,,,,,,,,,14
AE 775,Main,,6.0,,,6.0,4.0,,,1.0,,,2.0,,,,19
AE 899,Main,,,,,,,,,,,,,,2.0,10.0,13
AES801,Main,4.0,1.0,,,,,,,,,,,1.0,,,6
AES802,Main,,,,,1.0,,,,,,,,2.0,,,3
BB 101,D1,67.0,68.0,4.0,,35.0,27.0,20.0,7.0,4.0,,3.0,,1.0,,,236
BB 101,D2,55.0,51.0,4.0,,32.0,23.0,7.0,2.0,,,2.0,,,,,176
BB 101,S1,86.0,86.0,6.0,,71.0,38.0,19.0,6.0,3.0,,4.0,,1.0,,,320
BB 402,Main,5.0,8.0,,,9.0,11.0,2.0,,,,,,,,,35
BB 405,Main,6.0,4.0,,,6.0,10.0,6.0,4.0,3.0,,,2.0,,,,41
BB 405,M,1.0,1.0,,,,,,1.0,3.0,,,,,,,6
BB 421,Main,13.0,24.0,,1.0,7.0,2.0,,,1.0,,,,,,,48
BB 505,Main,15.0,26.0,2.0,1.0,19.0,19.0,25.0,8.0,1.0,,,7.0,,,,124
BB 519,Main,13.0,14.0,,,3.0,,1.0,,,,,,2.0,,,33
BB 521,Main,3.0,16.0,,,11.0,17.0,2.0,,1.0,,,1.0,,,,51
BB 523,Main,8.0,11.0,,,7.0,6.0,2.0,1.0,,,,,,,,35
BB 525,Main,6.0,16.0,,,9.0,5.0,,1.0,,,,1.0,1.0,,,39
