Course Code,Course Name,Course Type,Course Category,Instructor,Slot,Division,Restriction,Credits,Description
AE 103,A historical perspective of Aerospace Engineering,Theory,Interdisciplinary STEM Course.,I - Chandra Sekher Yerramalli,"4
Mon-4A-11:35:00-12:30:00-IC 1
Thu-4C-09:30:00-10:25:00-IC 1
Tue-4B-08:30:00-09:25:00-IC 1", ,[],6,"PART-I : Based on inputs from CLE (LASE program) Recommended Topics: -------------------- * The scientific revolution of the 17th century -- mechanics of the craftsmen and mathematics of the scholars are fused to explain the Universe.  * The 18th century enlightenment movement and growing dominance of the scientific worldview.  * The 19th century steam engine and electric generator, and the industrial revolution. Evolutionary perspectives in geology, biology and society. The professionalization of Science and development of its secular and elite character. * The 20th century - the birth of new physics and chemistry of the atomic and subatomic world, and related technologies. The birth of computing machines, aerodynamic and space technologies. The growing knowledge of cellular and molecular biology, and human diseases. * The 21st century - the global concerns for public health and pandemics, ecological devastation and agricultural crisis, social and economic inequality, remain and continue to grow.  PART-II : 1. History of Aerospace Engineering a. Aeronautics and Aerospace – Aircrafts and Rockets b. Basic structure/geometry/terminology of aircrafts and rockets c. Basic science of flight – Number of disciplines involved in aerospace technology d. Stories of flight – Across the world e. Evolution in flying – balloons and gliders f. Flight of heavier than air object – First flight, First rockets 2. Major milestones (discoveries and inventions) and its impact on society and industrial revolution, including negative impacts on the society. a. Global milestones – First balloon flight, powered flight, V2 rockets, Supersonic flight, civilian supersonic, Shuttle flights, SPACEX etc. b. Indian milestones – First Indigenous aircraft design- HF24, LCA, ALH, SLV, PSLV, GSLV etc. 3. Evolution of ethics and practices in the discipline – Nuclear and Chemical Weapons control, Export control laws etc. 4. Important persons, their biographies, struggle, and success. a. Indian and global 5. Voices from the field (invited talks from practitioners and professionals) – Have couple of talks every semester 6. Recent and cutting edge research in the discipline 7. Prospective directions of evolution of the discipline in the near future."
AE 152,Introduction to Aerospace Engg.,Theory,Interdisciplinary STEM Course.,I - Rajkumar Sureshchandra Pant,"5
Fri-5B-09:30:00-10:55:00-Class Room : LA 001
Wed-5A-09:30:00-10:55:00-Class Room : LA 001", ,[],6,"Nomenclature of aircraft components. Standard atmosphere. Basic Aerodynamics : Streamlines, steady fluid motion, incompressible flow, Bernoulli""s equation,Mach number, Pressure and airspeed measurement, Boundary Layer,Reynolds number, Laminar and Turbulent flow. Airfoils and wings: pressure coefficient and lift calculation, Critical Mach number, Wave drag, Finite wings, Induced drag, Swept wings. Aircraft performance: steady level flight, Altitude effects, Absolute ceiling, steady climbing flight, Energy methods, Range and Endurance, Sustained level turn, pull-up, V-n diagram, Take off and landing. Reentry vehicles: Ballistic and Glide Reentry, Blunt body concept."
AE 153,Introduction to Aerospace Engg.,Theory,Interdisciplinary STEM Course.,I - Rajkumar Sureshchandra Pant,"5
Fri-5B-09:30:00-10:55:00-Class Room : LA 001
Wed-5A-09:30:00-10:55:00-Class Room : LA 001", M,[],6,"Historical Developments in Aviation, Aviation milestones, Components of an aircraft, Types of aerial vehicles. Basic Aerodynamics: Fluid dynamic equations & their basis, Ideal fluid, viscous flows, Flow past a body, Flow Separation, Generation of Lift, Drag & Moment, Non-dimensional coefficients, Airfoils & Wings, Aerofoil families, Supersonic flight, Wave Drag, Aircraft Drag Polar, Properties of atmosphere: ISA, IRA, Pressure altitude, Altimeter; Aircraft speeds TAS, EAS, CAS, IAS Types of Powerplant for aerospace vehicles, Thrust/Power and fuel flow variation with altitude & velocity. Role & Layout of structural members in an aircraft. Aircraft Performance: Steady level flight, Altitude effects, Absolute ceiling, steady climbing flight, Energy methods, Range and Endurance, Sustained level turn, pull-up,Take off and landing. Aircraft Operations: Introduction to Airports, Avionics Equipment, Precision aids, Separation minima, Air Route structure, Navigation and Guidance. Introduction to Space flight: Types of trajectories, Types of missiles, Launch vehicles, Satellites."
AE 219,Supervised Learning,Other Project,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,, ,[],6, 
AE 223,Thermodynamics and Propulsion,Theory,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,"3
Mon-3A-10:35:00-11:30:00-IC 1
Thu-3C-08:30:00-09:25:00-IC 1
Tue-3B-11:35:00-12:30:00-IC 1", ,[],6,"Basic concepts: System boundary, surroundings, state, extensive and intensive properties, energy interactions, work and heat transfers, equilibrium, quasi-static and reversible processes, non- equilibrium and irreversible processes. Thermodynamic laws: Zeroth law and temperature, first law and internal energy, first law applied to flow processes, second law, entropy and absolute temperature, third law and absolute entropy, thermodynamics of simple compressible systems, energy and energy. Applications: Closed and open systems, polytropic processes, cyclic processes, Carnot cycle; Cycle analysis: Otto cycle, Diesel cycle, Joule-Brayton cycle; ideal and real cycles. Basic principles of heat transfer: conduction, convection and radiation. Introduction to aero-engine cycles: ramjets, turbojets, turbofans and turboprops/turboshafts, ideal and real cycles, and component performance."
AE 223,Thermodynamics and Propulsion,Theory,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,"3
Mon-3A-10:35:00-11:30:00-IC 1
Thu-3C-08:30:00-09:25:00-IC 1
Tue-3B-11:35:00-12:30:00-IC 1", M,[],6,"Basic concepts: System boundary, surroundings, state, extensive and intensive properties, energy interactions, work and heat transfers, equilibrium, quasi-static and reversible processes, non- equilibrium and irreversible processes. Thermodynamic laws: Zeroth law and temperature, first law and internal energy, first law applied to flow processes, second law, entropy and absolute temperature, third law and absolute entropy, thermodynamics of simple compressible systems, energy and energy. Applications: Closed and open systems, polytropic processes, cyclic processes, Carnot cycle; Cycle analysis: Otto cycle, Diesel cycle, Joule-Brayton cycle; ideal and real cycles. Basic principles of heat transfer: conduction, convection and radiation. Introduction to aero-engine cycles: ramjets, turbojets, turbofans and turboprops/turboshafts, ideal and real cycles, and component performance."
AE 227,Solid Mechanics,Theory,Interdisciplinary STEM Course.,I - Krishnendu Haldar,"1
Mon-1A-08:30:00-09:25:00-Class Room : LC 002
Thu-1C-10:35:00-11:30:00-Class Room : LC 002
Tue-1B-09:30:00-10:25:00-Class Room : LC 002", ,[],6,"The course is designed to provide a foundation to the theory of elasticity and an introduction to aerospace materials and their behaviour. The course concludes with topics that provide a segue to structural analysis. The sub-topics are as follows: • Engineering statics vs solid mechanics.  • Introduction to materials and material behaviour.  • Solid as a continuum: kinematics, kinetics, constitutive relations.  • Boundary value problems in elasticity.  • Reduction of 3D to 1D structures (axial, bending, torsional members). • Introduction to failure theories."
AE 227,Solid Mechanics,Theory,Interdisciplinary STEM Course.,I - Krishnendu Haldar,"1
Mon-1A-08:30:00-09:25:00-Class Room : LC 002
Thu-1C-10:35:00-11:30:00-Class Room : LC 002
Tue-1B-09:30:00-10:25:00-Class Room : LC 002", M,[],6,"The course is designed to provide a foundation to the theory of elasticity and an introduction to aerospace materials and their behaviour. The course concludes with topics that provide a segue to structural analysis. The sub-topics are as follows: • Engineering statics vs solid mechanics.  • Introduction to materials and material behaviour.  • Solid as a continuum: kinematics, kinetics, constitutive relations.  • Boundary value problems in elasticity.  • Reduction of 3D to 1D structures (axial, bending, torsional members). • Introduction to failure theories."
AE 229,Introduction to Aerodynamics and Propulsion Laboratory,Lab,Interdisciplinary STEM Course.,"A - Chandra Sekar Thyagarajan
A - Dhwanil Shukla
A - Nagendra Kumar
I - Prabhu Ramachandran","L
Mon-L1-14:00:00-16:55:00-", ,[],3,"Force (drag) measurement using load balance, flow visualization in water tunnel, Rubin’s tube for combustion visualization, Pitot static probe and manometer for velocity measurement"
AE 231,Introduction to Aerospace Structures and Control Laboratory,Lab,Interdisciplinary STEM Course.,"I - Hemendra Arya
I - Krishnendu Haldar","L
Thu-L3-14:00:00-16:55:00-", ,[],3,"Four experiments are planned for the common lab for UG students. The focus of these experiments is to demonstrate typical tests used to determine material characterization and structural response, strain measurement, and exposure to aircraft’s behavior. These experiments are as follows: Testing of aerospace materials under axial loading, Demonstrate ductile and brittle behavior of materials and the determination of material elastic properties and strength Testing of aerospace structures under flexural loading, Bending tests to determine structural deflection and material Young’s modulus Application of Wheatstone bridge for strain measurement, Derivation of strain and resistance variations, application of strain gauge measurement Introduction to flight simulation, trimming of aircraft for various operating points"
