Course Code,Course Name,Course Type,Course Category,Instructor,Venue,Slot,Division,Biometric Attendance Enabled,Registration Limit,Restriction,Session/Division Defined,Total Credits,Lecture,Tutorial,Practical,Self Study,Half Semester,Text Reference,Description
AE 152,Introduction to Aerospace Engg.,Theory,Interdisciplinary STEM Course.,I - Vasudeva Raghavendra Kowsik Bodi,"  Class Room : LC 202
FullSemester","10
Fri-10B-14:00:00-15:25:00-Class Room : LC 202
Tue-10A-14:00:00-15:25:00-Class Room : LC 202", , Biometric Enabled,300,No restrictions,[],6.0,2.0, ,1.0, ,N,"Ojha S.K., Flight Performance of Aircraft, AIAA Series, 1995.Anderson, J.D., Introduction to Flight, McGraw Hill, 1989. Hale, J.F., Introduction to Aircraft Performance, Selection and Design, John Wiley, 1984.","Nomenclature of aircraft components. Standard atmosphere. Basic Aerodynamics : Streamlines, steady fluid motion, incompressible flow, Bernoulli""s equation,Mach number, Pressure and airspeed measurement, Boundary Layer,Reynolds number, Laminar and Turbulent flow. Airfoils and wings: pressure coefficient and lift calculation, Critical Mach number, Wave drag, Finite wings, Induced drag, Swept wings. Aircraft performance: steady level flight, Altitude effects, Absolute ceiling, steady climbing flight, Energy methods, Range and Endurance, Sustained level turn, pull-up, V-n diagram, Take off and landing. Reentry vehicles: Ballistic and Glide Reentry, Blunt body concept."
AE 153,Introduction to Aerospace Engg.,Theory,Interdisciplinary STEM Course.,I - Vasudeva Raghavendra Kowsik Bodi,"   
FullSemester","10
Fri-10B-14:00:00-15:25:00-
Tue-10A-14:00:00-15:25:00-", M, ,20,No restrictions,[],6.0,2.0, ,1.0, ,N,"1. Anderson, J. D., The Aeroplane, a History of its Technology, AIAA Education Series,20022. Anderson, J. D., Introduction to Flight, McGraw-Hill Professional, 20053. Howe, D., Aircraft Loading and Structural Layout, AIAA Education Series, 20044. Ojha S.K., Flight Performance of Aircraft, AIAA Education Series, 19955. Horonjeff, R and McKelvey, F., Planning and Design of Airports, McGraw-Hill Professional,1994","Historical Developments in Aviation, Aviation milestones, Components of an aircraft, Types of aerial vehicles. Basic Aerodynamics: Fluid dynamic equations & their basis, Ideal fluid, viscous flows, Flow past a body, Flow Separation, Generation of Lift, Drag & Moment, Non-dimensional coefficients, Airfoils & Wings, Aerofoil families, Supersonic flight, Wave Drag, Aircraft Drag Polar, Properties of atmosphere: ISA, IRA, Pressure altitude, Altimeter; Aircraft speeds TAS, EAS, CAS, IAS Types of Powerplant for aerospace vehicles, Thrust/Power and fuel flow variation with altitude & velocity. Role & Layout of structural members in an aircraft. Aircraft Performance: Steady level flight, Altitude effects, Absolute ceiling, steady climbing flight, Energy methods, Range and Endurance, Sustained level turn, pull-up,Take off and landing. Aircraft Operations: Introduction to Airports, Avionics Equipment, Precision aids, Separation minima, Air Route structure, Navigation and Guidance. Introduction to Space flight: Types of trajectories, Types of missiles, Launch vehicles, Satellites."
AE 219,Supervised Learning,Other Project,Interdisciplinary STEM Course.,I - Krishnendu Haldar,"   
FullSemester",, , ,0,No restrictions,[],6.0,2.0, ,1.0, ,N, , 
AE 233,Control Systems Laboratory,Lab,Interdisciplinary STEM Course.,"A - Rohit Gupta
I - Rohit Vishwajit Nanavati","   
FullSemester","L
Mon-L1-14:00:00-16:55:00-", , ,0,No restrictions,[],3.0, , ,3.0, ,N,"Ogata, K. Modern Control Engineering, 5th Ed., Prentice Hall India, Eastern Economy Edition, 2010.User Manuals of the various experimental setups","Modeling and identification of plant dynamics for different types of systems Reinforcement of basic control concepts: Proportional, integral, and derivative feedback applied to simple control systems such as servo control, temperature control, and gyroscope. Real system effects: Effect of friction, backlash, resistance, loading, and transport lag on the control system behavior. Frequency response: Experimental generation, application to closed loop system stability analysis. Lab Project: Design of a control system involving simulation studies, hardware implementation, and demonstration."
AE 238,Aerospace Structural Mechanics,Theory,Interdisciplinary STEM Course.,I - Padubidri Janardhan Achar Guruprasad,"   
FullSemester","1
Mon-1A-08:30:00-09:25:00-
Thu-1C-10:35:00-11:30:00-
Tue-1B-09:30:00-10:25:00-", , ,300,No restrictions,[],6.0,3.0, , , ,N,"302225 B. K. Donaldson, 302223Analysis of Aircraft Structures302224, Cambridge Aerospace Series, 2nd edition, 2. 302225 T. H. G. Megson, 302223Aircraft Structures for Engineering Students302224, Elsevier, 2017. 302225 C T. Sun, 302223Mechanics of Aircraft Structures302224, Wiley, 3rd Edition, 2021. 302225 O. A. Bauchau and J. I. Craig, 302223Structural Analysis with Applications to Aerospace Structures302224, Springer, 2009. 302225 L. Meirovitch, Elements of Vibration Analysis, 3rd Ed. McGraw-Hill Book Co., 2001.","The course focuses on analysis of structural components used in aircraft and spacecraft. Subtopics are as follows: • Introduction to aerospace materials and their behaviour. • Introduction to aircraft and spacecraft structural components.  • Loads and design considerations.  • Axial, flexure, and torsion analysis of open/closed cell beam-like structures. • Failure analysis. • Elements of structural vibrations. • Reduction of continuous systems to lumped systems."
AE 238,Aerospace Structural Mechanics,Theory,Interdisciplinary STEM Course.,I - Padubidri Janardhan Achar Guruprasad,"   
FullSemester","1
Mon-1A-08:30:00-09:25:00-
Thu-1C-10:35:00-11:30:00-
Tue-1B-09:30:00-10:25:00-", M, ,20,No restrictions,[],6.0,3.0, , , ,N,"302225 B. K. Donaldson, 302223Analysis of Aircraft Structures302224, Cambridge Aerospace Series, 2nd edition, 2. 302225 T. H. G. Megson, 302223Aircraft Structures for Engineering Students302224, Elsevier, 2017. 302225 C T. Sun, 302223Mechanics of Aircraft Structures302224, Wiley, 3rd Edition, 2021. 302225 O. A. Bauchau and J. I. Craig, 302223Structural Analysis with Applications to Aerospace Structures302224, Springer, 2009. 302225 L. Meirovitch, Elements of Vibration Analysis, 3rd Ed. McGraw-Hill Book Co., 2001.","The course focuses on analysis of structural components used in aircraft and spacecraft. Subtopics are as follows: • Introduction to aerospace materials and their behaviour. • Introduction to aircraft and spacecraft structural components.  • Loads and design considerations.  • Axial, flexure, and torsion analysis of open/closed cell beam-like structures. • Failure analysis. • Elements of structural vibrations. • Reduction of continuous systems to lumped systems."
AE 244,Low Speed Aerodynamics,Theory,Interdisciplinary STEM Course.,I - Dhwanil Shukla,"   
FullSemester","3
Mon-3A-10:35:00-11:30:00-
Thu-3C-08:30:00-09:25:00-
Tue-3B-11:35:00-12:30:00-", , ,300,No restrictions,[],6.0,3.0, , , ,N,"1. White, F. M., Fluid Mechanics (SI Units), 7th Ed., Special Indian Edition, McGraw Hill, 2011.2. Panton, R. L., Incompressible Flow, 3rd Ed., Wiley India Edition, 2006.3. 3. Cengel, Y. A., Cimbala, J. M., Fluid Mechanics (Fundamentals and Applications), 2nd Ed., Tata McGraw Hill, 2010.4. Anderson, J. D., Jr., Fundamentals of Aerodynamics, McGraw Hill 2001.5. Bertin, J. J., Aerodynamics for Engineers, Pearson Education, 2002.6. Houghton, E. L. and Carpenter, P. W., Aerodynamics for Engineers, Butterworth-Heinemann, 2001.","Introduction; Review of streamline, pathline, and streakline, dilatation, strain rate;Circulation and vorticity;Conservation of mass, momentum and energy in fixed, deforming, and moving control volumes; Kinematics of fluid flows, Lagrangian and Eulerian descriptions;Equation of motion in differential form;Bernoulli302222s equation;Similitude, dimensional analysis, and modeling; important non-dimensional groups in fluid mechanics;Potential flow: stream function and velocity potential, source, sink, doublet, vortex and their superpositions;Kutta-Joukowski theorem;Thin airfoil theory;Panel methods;Potential flow over lifting wing: lifting line theory, vortex lattice method;Viscous flow, exact solutions, pipe flow; Laminar boundary layers."
AE 244,Low Speed Aerodynamics,Theory,Interdisciplinary STEM Course.,I - Dhwanil Shukla,"   
FullSemester","3
Mon-3A-10:35:00-11:30:00-
Thu-3C-08:30:00-09:25:00-
Tue-3B-11:35:00-12:30:00-", M, ,20,No restrictions,[],6.0,3.0, , , ,N,"1. White, F. M., Fluid Mechanics (SI Units), 7th Ed., Special Indian Edition, McGraw Hill, 2011.2. Panton, R. L., Incompressible Flow, 3rd Ed., Wiley India Edition, 2006.3. 3. Cengel, Y. A., Cimbala, J. M., Fluid Mechanics (Fundamentals and Applications), 2nd Ed., Tata McGraw Hill, 2010.4. Anderson, J. D., Jr., Fundamentals of Aerodynamics, McGraw Hill 2001.5. Bertin, J. J., Aerodynamics for Engineers, Pearson Education, 2002.6. Houghton, E. L. and Carpenter, P. W., Aerodynamics for Engineers, Butterworth-Heinemann, 2001.","Introduction; Review of streamline, pathline, and streakline, dilatation, strain rate;Circulation and vorticity;Conservation of mass, momentum and energy in fixed, deforming, and moving control volumes; Kinematics of fluid flows, Lagrangian and Eulerian descriptions;Equation of motion in differential form;Bernoulli302222s equation;Similitude, dimensional analysis, and modeling; important non-dimensional groups in fluid mechanics;Potential flow: stream function and velocity potential, source, sink, doublet, vortex and their superpositions;Kutta-Joukowski theorem;Thin airfoil theory;Panel methods;Potential flow over lifting wing: lifting line theory, vortex lattice method;Viscous flow, exact solutions, pipe flow; Laminar boundary layers."
AE 246,Aircraft Structures Laboratory,Lab,Interdisciplinary STEM Course.,I - Krishnendu Haldar,"   
FullSemester","L
Thu-L3-14:00:00-16:55:00-", , ,0,No restrictions,[],3.0, , ,3.0, ,N,"Laboratory Manual, Aircraft Structures Lab., Dept. of Aerospace Engineering, IIT Bombay, 2023.","1. Fabrication of fiber reinforced composite laminate. 2. Tension, compression, interlaminar shear, impact and hardness testing for determination of elastic moduli and strength of material. 3. Coefficient of thermal expansion. 4. Strain measurement. 5. Inverse methods for material property determination (Poisson’s ratio and Young’s Modulus) using measured static and dynamic structural response in conjunction with simple structural models. 6. Shear center of open section thin-walled beam, displacement and strain distribution in bending and torsion of twin-walled open and closed section beams. 7. Buckling of beams/plates. 8. Measurement of natural frequency, natural modes and modal damping of beams."
AE 248,AI and Data Science,Theory,Interdisciplinary STEM Course.,I - Prabhu Ramachandran,"   
FullSemester","4
Mon-4A-11:35:00-12:30:00-
Thu-4C-09:30:00-10:25:00-
Tue-4B-08:30:00-09:25:00-", , ,300,No restrictions,[],6.0,3.0, , , ,N, , 
